Position,First Name,Last Name,Team,Salary
QB,Jalen,Hurts,PHI,6400
QB,Kenny,Pickett,PHI,4200
QB,Tanner,McKee,PHI,4200
QB,Daniel,Jones,NYG,5200
QB,Drew,Lock,NYG,4200
QB,Tommy,DeVito,NYG,4200
QB,Geno,Smith,SEA,6000
QB,Sam,Howell,SEA,4200
QB,Kirk,Cousins,ATL,5600
QB,Michael,Penix Jr.,ATL,4200
QB,Davis,Mills,HOU,4200
QB,C.J.,Stroud,HOU,5800
QB,Jordan,Love,GB,6400
QB,Malik,Willis,GB,4200
QB,Jake,Browning,CIN,4200
QB,Joe,Burrow,CIN,6400
QB,Jameis,Winston,CLE,4200
QB,Deshaun,Watson,CLE,4600
QB,Dorian,Thompson-Robinson,CLE,4200
QB,Jared,Goff,DET,5800
QB,Hendon,Hooker,DET,4200
QB,Nick,Mullens,MIN,4200
QB,Sam,Darnold,MIN,5800
QB,Brett,Rypien,MIN,4200
QB,Tyler,Huntley,MIA,4400
QB,Skylar,Thompson,MIA,4200
QB,Joe,Flacco,IND,5600
QB,Sam,Ehlinger,IND,4200
QB,Anthony,Richardson,IND,5600
QB,Mason,Rudolph,TEN,4200
QB,Will,Levis,TEN,4400
QB,Mitchell,Trubisky,BUF,4200
QB,Josh,Allen,BUF,6800
QB,Gardner,Minshew II,LV,4200
QB,Aidan,O'Connell,LV,5000
QB,Matthew,Stafford,LA,4600
QB,Jimmy,Garoppolo,LA,4200
QB,Stetson,Bennett,LA,4200
QB,Andy,Dalton,CAR,5000
QB,Bryce,Young,CAR,4200
QB,Jeff,Driskel,WAS,4200
QB,Jayden,Daniels,WAS,7400
QB,Marcus,Mariota,WAS,4200
QB,Carson,Wentz,KC,4200
QB,Patrick,Mahomes,KC,5800
QB,Brandon,Allen,SF,4200
QB,Joshua,Dobbs,SF,4200
QB,Brock,Purdy,SF,5800
RB,Saquon,Barkley,PHI,7000
RB,Kenneth,Gainwell,PHI,2200
RB,Will,Shipley,PHI,2200
RB,Devin,Singletary,NYG,5200
RB,Eric,Gray,NYG,2200
RB,Tyrone,Tracy Jr.,NYG,3600
RB,Dante,Miller,NYG,2200
RB,Kenneth,Walker III,SEA,6400
RB,Zach,Charbonnet,SEA,3600
RB,Kenny,McIntosh,SEA,2200
RB,Avery,Williams,ATL,2200
RB,Tyler,Allgeier,ATL,3800
RB,Bijan,Robinson,ATL,6000
RB,Robert,Burns,ATL,2200
RB,Jase,McClellan,ATL,2200
RB,Joe,Mixon,HOU,6800
RB,Dare,Ogunbowale,HOU,2200
RB,Cam,Akers,HOU,2200
RB,Dameon,Pierce,HOU,2200
RB,Josh,Jacobs,GB,5600
RB,Chris,Brooks,GB,2200
RB,Emanuel,Wilson,GB,2200
RB,Andrew,Beck,GB,2200
RB,Trayveon,Williams,CIN,2200
RB,Zack,Moss,CIN,4400
RB,Chase,Brown,CIN,5200
RB,D'Onta,Foreman,CLE,2200
RB,Pierre,Strong Jr.,CLE,2200
RB,Jerome,Ford,CLE,3800
RB,Nick,Chubb,CLE,2200
RB,Nyheim,Hines,CLE,2200
RB,David,Montgomery,DET,6000
RB,Craig,Reynolds,DET,2200
RB,Jahmyr,Gibbs,DET,6000
RB,Sione,Vaki,DET,2200
RB,C.J.,Ham,MIN,2200
RB,Aaron,Jones,MIN,6000
RB,Ty,Chandler,MIN,3200
RB,Myles,Gaskin,MIN,2200
RB,Raheem,Mostert,MIA,4600
RB,Jeff,Wilson Jr.,MIA,2200
RB,Alec,Ingold,MIA,2200
RB,De'Von,Achane,MIA,5600
RB,Jaylen,Wright,MIA,2200
RB,Jonathan,Taylor,IND,6800
RB,Trey,Sermon,IND,2200
RB,Tyler,Goodson,IND,2200
RB,Evan,Hull,IND,2200
RB,Tony,Pollard,TEN,5600
RB,Julius,Chestnut,TEN,2200
RB,Tyjae,Spears,TEN,3600
RB,Ty,Johnson,BUF,2200
RB,Reggie,Gilliam,BUF,2200
RB,James,Cook,BUF,5800
RB,Ray,Davis,BUF,2200
RB,Darrynton,Evans,BUF,2200
RB,Ameer,Abdullah,LV,2200
RB,Alexander,Mattison,LV,4000
RB,Zamir,White,LV,2800
RB,Dylan,Laube,LV,2200
RB,Kyren,Williams,LA,7200
RB,Ronnie,Rivers,LA,2200
RB,Blake,Corum,LA,2200
RB,Cody,Schrader,LA,2200
RB,Miles,Sanders,CAR,2200
RB,Chuba,Hubbard,CAR,5800
RB,Raheem,Blackshear,CAR,2200
RB,Jeremy,McNichols,WAS,2200
RB,Austin,Ekeler,WAS,4800
RB,Brian,Robinson Jr.,WAS,5800
RB,Chris,Rodriguez Jr.,WAS,2200
RB,Kareem,Hunt,KC,5400
RB,Samaje,Perine,KC,2600
RB,Carson,Steele,KC,2200
RB,Kyle,Juszczyk,SF,2200
RB,Patrick,Taylor Jr.,SF,2200
RB,Jordan,Mason,SF,5400
RB,Isaac,Guerendo,SF,2200
TE,Dallas,Goedert,PHI,3600
TE,Jack,Stoll,PHI,2200
TE,Grant,Calcaterra,PHI,2200
TE,Chris,Manhertz,NYG,2200
TE,Daniel,Bellinger,NYG,2200
TE,Theo,Johnson,NYG,2200
TE,Pharaoh,Brown,SEA,2200
TE,Noah,Fant,SEA,2600
TE,Brady,Russell,SEA,2200
TE,AJ,Barner,SEA,2200
TE,Ross,Dwelley,ATL,2200
TE,Charlie,Woerner,ATL,2200
TE,Kyle,Pitts,ATL,3200
TE,Dalton,Schultz,HOU,2800
TE,Cade,Stover,HOU,2200
TE,Tucker,Kraft,GB,3600
TE,Ben,Sims,GB,2200
TE,Teagan,Quitoriano,HOU,2200
TE,John,FitzPatrick,GB,2200
TE,Mike,Gesicki,CIN,2200
TE,Tanner,Hudson,CIN,2200
TE,Drew,Sample,CIN,2200
TE,Erick,All Jr.,CIN,2200
TE,Tanner,McLachlan,CIN,2200
TE,David,Njoku,CLE,3600
TE,Jordan,Akins,CLE,2200
TE,Geoff,Swaim,CLE,2200
TE,Parker,Hesse,DET,2200
TE,Brock,Wright,DET,2200
TE,Sam,LaPorta,DET,3400
TE,Johnny,Mundt,MIN,2200
TE,Josh,Oliver,MIN,2200
TE,Jonnu,Smith,MIA,2200
TE,Durham,Smythe,MIA,2200
TE,Tanner,Conner,MIA,2200
TE,Julian,Hill,MIA,2200
TE,Mo,Alie-Cox,IND,2200
TE,Kylen,Granson,IND,2200
TE,Drew,Ogletree,IND,2200
TE,Will,Mallory,IND,2200
TE,Nick,Vannett,TEN,2200
TE,Chig,Okonkwo,TEN,2200
TE,Thomas,Odukoya,TEN,2200
TE,Josh,Whyle,TEN,2200
TE,David,Martin-Robinson,TEN,2200
TE,Dawson,Knox,BUF,2200
TE,Quintin,Morris,BUF,2200
TE,Dalton,Kincaid,BUF,3400
TE,Harrison,Bryant,LV,2200
TE,Michael,Mayer,LV,2200
TE,John Samuel,Shenker,LV,2200
TE,Brock,Bowers,LV,4200
TE,Tyler,Higbee,LA,2200
TE,Colby,Parkinson,LA,2200
TE,Hunter,Long,LA,2200
TE,Davis,Allen,LA,2200
TE,Tommy,Tremble,CAR,2200
TE,Feleipe,Franks,CAR,2200
TE,Ja'Tavion,Sanders,CAR,2200
TE,Zach,Ertz,WAS,2600
TE,John,Bates,WAS,2200
TE,Ben,Sinnott,WAS,2200
TE,Colson,Yankoff,WAS,2200
TE,Ian,Thomas,CAR,2200
TE,Travis,Kelce,KC,4400
TE,Noah,Gray,KC,2200
TE,Jared,Wiley,KC,2200
TE,George,Kittle,SF,5200
TE,Eric,Saubert,SF,2200
TE,Jake,Tonges,SF,2200
TE,Jody,Fortson,KC,2200
TE,Brayden,Willis,SF,2200
WR,A.J.,Brown,PHI,6200
WR,DeVonta,Smith,PHI,5800
WR,Jahan,Dotson,PHI,2200
WR,Johnny,Wilson,PHI,2200
WR,Darius,Slayton,NYG,3800
WR,Ihmir,Smith-Marsette,NYG,2200
WR,Wan'Dale,Robinson,NYG,5000
WR,Jalin,Hyatt,NYG,2200
WR,Bryce,Ford-Wheaton,NYG,2200
WR,Malik,Nabers,NYG,6800
WR,Ainias,Smith,PHI,2200
WR,Parris,Campbell,PHI,2200
WR,Isaiah,Hodgins,NYG,2200
WR,Tyler,Lockett,SEA,4600
WR,DK,Metcalf,SEA,5400
WR,Laviska,Shenault Jr.,SEA,2200
WR,Dareke,Young,SEA,2200
WR,Jaxon,Smith-Njigba,SEA,4600
WR,Jake,Bobo,SEA,2200
WR,Ray-Ray,McCloud,ATL,3400
WR,KhaDarel,Hodge,ATL,2200
WR,Darnell,Mooney,ATL,4800
WR,Drake,London,ATL,6400
WR,Casey,Washington,ATL,2200
WR,Robert,Woods,HOU,2200
WR,Stefon,Diggs,HOU,5800
WR,Steven,Sims,HOU,2200
WR,John,Metchie III,HOU,2200
WR,Tank,Dell,HOU,5000
WR,Xavier,Hutchinson,HOU,2200
WR,Christian,Watson,GB,4000
WR,Romeo,Doubs,GB,4200
WR,Bo,Melton,GB,2200
WR,Jayden,Reed,GB,6000
WR,Dontayvion,Wicks,GB,3400
WR,Malik,Heath,GB,2200
WR,Trenton,Irwin,CIN,2200
WR,Tee,Higgins,CIN,5800
WR,Ja'Marr,Chase,CIN,6800
WR,Charlie,Jones,CIN,2200
WR,Andrei,Iosivas,CIN,3200
WR,Jermaine,Burton,CIN,2200
WR,Amari,Cooper,CLE,5200
WR,Jerry,Jeudy,CLE,3400
WR,Elijah,Moore,CLE,2200
WR,Cedric,Tillman,CLE,2200
WR,Jamari,Thrash,CLE,2200
WR,Jaelon,Darden,CLE,2200
WR,Allen,Robinson,DET,2200
WR,Kalif,Raymond,DET,2200
WR,Tim,Patrick,DET,2400
WR,Amon-Ra,St. Brown,DET,6600
WR,Jameson,Williams,DET,5600
WR,Isaiah,Williams,DET,2200
WR,Trent,Sherfield Sr.,MIN,2200
WR,Brandon,Powell,MIN,2200
WR,Justin,Jefferson,MIN,6600
WR,Trishton,Jackson,MIN,2200
WR,Jalen,Nailor,MIN,3000
WR,Jordan,Addison,MIN,5200
WR,Odell,Beckham Jr.,MIA,2200
WR,Tyreek,Hill,MIA,5000
WR,Braxton,Berrios,MIA,2200
WR,Jaylen,Waddle,MIA,4000
WR,Malik,Washington,MIA,2200
WR,Ashton,Dulin,IND,2200
WR,Michael,Pittman Jr.,IND,4600
WR,Alec,Pierce,IND,3400
WR,Josh,Downs,IND,5000
WR,Adonai,Mitchell,IND,2200
WR,Anthony,Gould,IND,2200
WR,DeAndre,Hopkins,TEN,3600
WR,Tyler,Boyd,TEN,2400
WR,Calvin,Ridley,TEN,4000
WR,Nick,Westbrook-Ikhine,TEN,2200
WR,Treylon,Burks,TEN,2200
WR,Colton,Dowell,TEN,2200
WR,Jha'Quan,Jackson,TEN,2200
WR,Curtis,Samuel,BUF,2200
WR,Mack,Hollins,BUF,2200
WR,Marquez,Valdes-Scantling,BUF,2200
WR,Khalil,Shakir,BUF,5000
